                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75244,                0.58156,                 1.2157,                0.86348,                0.83868,                 0.8747,                0.67827,                0.81585,                0.63586,                 1.3685,             0.00026654,             0.00026654,             0.00026654
                     36,                0.74662,                0.59257,                  1.218,                 0.8564,                 0.8565,                0.87572,                0.67577,                0.84125,                 0.6542,                 1.3852,             0.00025131,             0.00025131,             0.00025131
                     37,                0.73195,                0.56622,                 1.2118,                0.86428,                0.84698,                0.88534,                0.69261,                0.86054,                0.64435,                 1.4131,             0.00023608,             0.00023608,             0.00023608
                     38,                0.72335,                 0.5507,                 1.1973,                0.86815,                0.83608,                 0.8769,                0.67702,                0.85679,                0.66626,                 1.4079,             0.00022086,             0.00022086,             0.00022086
                     39,                0.70827,                0.54624,                 1.1905,                0.87002,                0.83656,                0.87852,                0.68223,                0.82826,                0.65747,                 1.3927,             0.00020563,             0.00020563,             0.00020563
                     40,                0.70653,                0.53328,                 1.1894,                0.85136,                0.86113,                0.88526,                0.69009,                0.84145,                 0.6705,                 1.4171,              0.0001904,              0.0001904,              0.0001904
                     41,                0.63265,                0.39377,                 1.1934,                0.87286,                0.87539,                0.88986,                0.69344,                0.81774,                0.62497,                 1.3765,             0.00017518,             0.00017518,             0.00017518
                     42,                0.60031,                0.36915,                 1.1679,                0.88696,                 0.8179,                 0.8781,                0.69307,                0.81185,                0.65441,                 1.3813,             0.00015995,             0.00015995,             0.00015995
                     43,                0.59389,                0.35737,                 1.1614,                0.85747,                0.84013,                0.88154,                0.69657,                0.81257,                0.64842,                 1.3686,             0.00014473,             0.00014473,             0.00014473
                     44,                0.57034,                0.33847,                 1.1445,                0.86876,                0.82404,                 0.8784,                0.69258,                0.80953,                0.64442,                 1.3761,              0.0001295,              0.0001295,              0.0001295
                     45,                0.56635,                0.33612,                 1.1455,                0.87741,                0.83599,                0.88726,                  0.696,                0.82778,                0.62274,                 1.4075,             0.00011427,             0.00011427,             0.00011427
                     46,                0.54458,                0.31892,                 1.1125,                 0.8504,                0.84817,                 0.8821,                0.69709,                0.81194,                0.63561,                 1.3821,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.54552,                0.31632,                  1.123,                0.88025,                0.84016,                0.88538,                0.70537,                0.80048,                0.62573,                 1.3807,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.53035,                0.31362,                 1.1111,                0.87561,                 0.8499,                 0.8828,                0.70055,                0.82083,                0.65125,                 1.3948,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.52082,                0.30227,                 1.0985,                0.88434,                0.84289,                0.87896,                0.70074,                0.79573,                0.62315,                 1.3762,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.50892,                0.29622,                 1.0925,                 0.8837,                0.83081,                0.88717,                0.70305,                0.80646,                0.62956,                   1.39,             3.8142e-05,             3.8142e-05,             3.8142e-05
